desk,4.04804518469,-2.07439702149,-2.59219476433
bistro table,7.03587732317,-5.32947750767,-1.13113952354
left planks,7.57574894926,-5.08490877101,0.161972799572
right rack,3.16361966879,-1.02374856248,2.09555347958
bedroom,11.9,0.30048633381,0.540798177432
coffe table,5.93380026023,-5.83174883431,1.83258732038
balcony,7.47592255672,-4.87086742992,-2.82620995876
sideboard,7.29373815486,1.68711549116,1.98764515711
tv,4.11084209528,-2.10682870039,-1.62766996975
balcony shelf,6.20968515669,-6.7665373177,-2.07949064345
left rack,3.16361966879,-1.02374856248,2.09555347958
little desk,11.0717697858,2.84702828958,2.14553814529
corridor,10.5756435177,-2.33383789515,-2.61942653856
entrance,13.6161473437,-0.860927478221,0.425285439132
living room,3.90201147842,-0.586005543347,-0.989528874355
spectators,11.6,-4.45,-2.77664263801
sofa,5.93412463269,-5.83296000695,1.83258747343
entrance_outside,15.4940331299,-1.51898451225,3.07820542914
fridge,9.21477097005,1.69779626488,0.0102087581464
bookcase,6.32921311932,-1.85562993469,-0.254668707756
commitee_table,2.03,-5.36,2.09555347958
right planks,8.65161557399,-6.11979262358,-0.101579838218
kitchen,8.15977024609,-0.508397945504,-0.883523664628
entrance shelf,14.1585157318,-1.98586779219,-2.25159619629
teepee,11.7302308673,2.80405820294,1.15703144309
bar,4.54270407972,-1.54080790829,-2.62618508663
entrance2,2.80245580392,1.56381883321,-0.977545508658
exit,2.80245580392,1.56381883321,-0.977545508658
kitchen table,7.30526989306,1.45528112618,-0.812239439165
bed,12.1658946559,1.00061495958,0.540824072595
kitchen shelf,9.25115411025,-1.53551497927,-2.77664263801
kitchen rack,9.25115411025,-1.53551497927,-2.77664263801
